Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
296,NM,WY,COD,Cody,Yellowstone Regional,P,N,39494,39578,-0.0021
297,NE,CT,HVN,New Haven,Tweed-New Haven,P,N,39372,28669,0.3733
298,CE,IA,DBQ,Dubuque,Dubuque Regional,P,N,38831,40324,-0.037
299,WP,MP,TNI,Tinian (Municipality),Tinian International,P,N,38664,34910,0.1075
300,SW,TX,SPS,Wichita Falls,Sheppard AFB/Wichita Falls Municipal,P,N,38026,38773,-0.0193
301,SW,AR,TXK,Texarkana,Texarkana Regional-Webb Field,P,N,37642,34101,0.1038
302,EA,WV,CKB,Clarksburg,North Central West Virginia,P,N,36920,25105,0.4706
303,SO,SC,HXD,Hilton Head Island,Hilton Head,P,N,36732,26220,0.4009
304,NM,CO,GUC,Gunnison,Gunnison-Crested Butte Regional,P,N,36479,32250,0.1311
305,EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,36406,33425,0.0892
307,AL,AK,DLG,Dillingham,Dillingham,P,N,34496,28895,0.1938
310,GL,SD,PIR,Pierre,Pierre Regional,P,N,30230,32822,-0.079
312,GL,MN,BJI,Bemidji,Bemidji Regional,P,N,30106,29038,0.0368
314,AL,AK,DUT,Unalaska,Unalaska,P,N,29229,30080,-0.0283
315,SO,PR,VQS,Vieques,Antonio Rivera Rodriguez,P,N,29022,50510,-0.4254
316,GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,28421,27635,0.0284
318,SW,TX,BPT,Beaumont,Jack Brooks Regional,P,N,27751,23767,0.1676
319,SW,OK,SWO,Stillwater,Stillwater Regional,P,N,27372,27370,0.0001
320,NM,WY,GCC,Gillette,Gillette-Campbell County,P,N,27136,29271,-0.0729
322,GL,MI,PLN,Pellston,Pellston Regional Airport of Emmet County,P,N,25943,23961,0.0827
323,NM,MT,BTM,Butte,Bert Mooney,P,N,25860,27703,-0.0665
324,CE,KS,GCK,Garden City,Garden City Regional,P,N,25225,26687,-0.0548
326,NE,MA,HYA,Hyannis,Barnstable Municipal-Boardman/Polando Field,P,N,24673,29455,-0.1623
327,SW,TX,GGG,Longview,East Texas Regional,P,N,24588,19261,0.2766
328,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,24520,22915,0.07
329,GL,WI,RHI,Rhinelander,Rhinelander-Oneida County,P,N,24477,23014,0.0636
330,GL,MI,CMX,Hancock,Houghton County Memorial,P,N,24055,24843,-0.0317
331,GL,WI,EAU,Eau Claire,Chippewa Valley Regional,P,N,23950,22822,0.0494
332,EA,NY,ART,Watertown,Watertown International,P,N,23930,22785,0.0503
333,CE,IA,ALO,Waterloo,Waterloo Regional,P,N,23908,27358,-0.1261
334,EA,MD,HGR,Hagerstown,Hagerstown Regional-Richard A Henson Field,P,N,23685,25584,-0.0742
335,WP,CA,MMH,Mammoth Lakes,Mammoth Yosemite,P,N,23522,21352,0.1016
336,SW,NM,HOB,Hobbs,Lea County Regional,P,N,23475,16216,0.4476
337,EA,NY,OGS,Ogdensburg,Ogdensburg International,P,N,23448,22957,0.0214
338,GL,MI,CIU,Sault Ste. Marie,Chippewa County International,P,N,23332,22261,0.0481
339,WP,CA,SMX,Santa Maria,Santa Maria Public/Capt G Allan Hancock Field,P,N,23026,24527,-0.0612
340,NM,WY,RKS,Rock Springs,Southwest Wyoming Regional,P,N,23020,18109,0.2712
341,GL,ND,DIK,Dickinson,Dickinson - Theodore Roosevelt Regional,P,N,22595,18963,0.1915
342,EA,PA,IPT,Williamsport,Williamsport Regional,P,N,22547,18323,0.2305
343,GL,MN,STC,St. Cloud,St. Cloud Regional,P,N,22464,20918,0.0739
344,GL,MN,BRD,Brainerd,Brainerd Lakes Regional,P,N,22298,21383,0.0428
345,NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,21876,17294,0.2649
346,SO,PR,RVR,Ceiba,Jose Aponte De La Torre,P,N,21870,32299,-0.3229
347,WP,AZ,PGA,Page,Page Municipal,P,N,21401,21347,0.0025
348,SO,KY,PAH,Paducah,Barkley Regional,P,N,21142,20910,0.0111
349,GL,MI,IMT,Iron Mountain,Ford,P,N,19552,17707,0.1042
350,SO,KY,OWB,Owensboro,Owensboro-Daviess County Regional,P,N,19532,19578,-0.0023
351,SO,MS,MEI,Meridian,Key Field,P,N,19332,23923,-0.1919
352,GL,MI,MKG,Muskegon,Muskegon County,P,N,18718,17007,0.1006
353,GL,MI,ESC,Escanaba,Delta County,P,N,18474,16781,0.1009
354,WP,NV,EKO,Elko,Elko Regional,P,N,18363,17115,0.0729
355,NM,UT,OGD,Ogden,Ogden-Hinckley,P,N,18327,20324,-0.0983
356,NE,RI,WST,Westerly,Westerly State,P,N,17694,17021,0.0395
357,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,17654,18280,-0.0342
359,NE,ME,RKD,Rockland,Knox County Regional,P,N,17236,16092,0.0711
360,GL,MN,INL,International Falls,Falls International-Einarson Field,P,N,17225,15278,0.1274
361,NM,WY,LAR,Laramie,Laramie Regional,P,N,17188,16072,0.0694
363,GL,MN,HIB,Hibbing,Range Regional,P,N,17111,15377,0.1128
365,NE,RI,BID,Block Island,Block Island State,P,N,16809,15497,0.0847
366,CE,KS,SLN,Salina,Salina Regional,P,N,16209,13850,0.1703
367,AL,AK,UNK,Unalakleet,Unalakleet,P,N,16208,16111,0.006
368,NM,UT,CDC,Cedar City,Cedar City Regional,P,N,15841,15588,0.0162
369,SO,GA,MCN,Macon,Middle Georgia Regional,P,N,15431,4857,2.1771
370,SO,PR,CPX,Culebra,Benjamin Rivera Noriega,P,N,14612,26556,-0.4498
371,WP,MP,GRO,Northern Islands (Municipality),Benjamin Taisacan Manglona International,P,N,14143,21214,-0.3333
372,SO,PR,SIG,San Juan,Fernando Luis Ribas Dominicci,P,N,14106,18361,-0.2317
373,AL,AK,WRG,Wrangell,Wrangell,P,N,14033,13160,0.0663
374,NE,MA,BED,Bedford,Laurence G Hanscom Field,P,N,13982,10956,0.2762
375,CE,NE,LBF,North Platte,North Platte Regional Airport Lee Bird Field,P,N,13798,3911,2.528
376,CE,NE,BFF,Scottsbluff,Western Nebraska Regional/William B Heilig Field,P,N,13628,3709,2.6743
377,SO,MS,TUP,Tupelo,Tupelo Regional,P,N,13557,11441,0.1849
378,AL,AK,AKW,Klawock,Klawock,P,N,13503,10923,0.2362
379,WP,CA,CCR,Concord,Buchanan Field,P,N,13459,14517,-0.0729
380,NM,WY,SHR,Sheridan,Sheridan County,P,N,13264,10876,0.2196
381,AL,AK,LHD,Anchorage,Lake Hood,P,N,12898,20689,-0.3766
382,AL,AK,ANI,Aniak,Aniak,P,N,12853,12735,0.0093
383,NM,OR,OTH,North Bend,Southwest Oregon Regional,P,N,12580,12971,-0.0301
385,EA,VA,SHD,Weyers Cave,Shenandoah Valley Regional,P,N,12179,6605,0.8439
386,NM,WA,FHR,Friday Harbor,Friday Harbor,P,N,12058,10359,0.164
387,CE,KS,HYS,Hays,Hays Regional,P,N,11996,9460,0.2681
390,NM,WY,RIW,Riverton,Riverton Regional,P,N,11811,8277,0.427
391,AL,AK,YAK,Yakutat,Yakutat,P,N,11800,10886,0.084
